"base_value_quasi","b_value_quasi","w_value_quasi","b_quasi","w_quasi","r_quasi","m_quasi","dist_w_quasi"
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
0.459422421739604,1,0.185018715960646,1,1,0.0214995213589115,0.0372406357872532,0.459422421739604
0.174202608880278,1,0.246345362880053,1,1,0.0847778038506747,0.0415924050260997,0.174202608880278
1.30789379744508,1,0.228531309221624,1,1,0.0424963550587852,0.0434039287097506,1.30789379744508
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
0.198705141611653,1,0.214067713034473,1,1,0.0163361406865291,0.0409985029885517,0.198705141611653
0.290636937912878,1,0.200731027463949,1,1,0.0842004816123754,0.039412700243528,0.290636937912878
0.990922724884112,1,0.207981218652272,1,1,0.113503682773753,0.0370123476900016,0.990922724884112
0.587174268626385,1,0.24113716801045,1,1,0.00476920445487833,0.0490771814550711,0.587174268626385
0.427557627273171,0.00315741807990671,0.247207036121679,1,1,0.000357112639409247,0.0414680207027646,0.427557627273171
0.390142188996546,1,0.241742653144566,1,1,0.0241632967792746,0.0574893371092631,0.390142188996546
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
0.68868295430896,1,0.16135317434034,1,1,0.131358571990452,0.0439649451120415,0.68868295430896
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
0.503408239515472,1,0.200729737402584,1,1,0.0466282289188921,0.0471667966940604,0.503408239515472
0.391499848287729,0.074902266583807,0.152312848127545,1,1,0.230041033191948,0.0496264586079177,0.391499848287729
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
0.564794844335767,1,0.257168819433045,1,1,0.0896425228991802,0.0524301355461506,0.564794844335767
0.492120493233747,1,0.196654208833821,1,1,0.0459317599812597,0.0376497253987542,0.492120493233747
NA,NA,NA,NA,NA,NA,NA,0
0.521562900084201,1,0.242578331173831,1,1,0.0600832359098606,0.0419104919568453,0.521562900084201
NA,NA,NA,NA,NA,NA,NA,0
0.43206123877774,1,0.193232510126681,1,1,0.0274885003276971,0.0384213412311987,0.43206123877774
NA,NA,NA,NA,NA,NA,NA,0
0.222073061744604,1,0.157325758512197,1,1,0.0809771452837599,0.0389962976250612,0.222073061744604
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
0.417785492780387,1,0.151841587990954,1,1,0.0640739796699168,0.0440622645594411,0.417785492780387
0.1502807868187,1,0.210773203466593,1,1,0.0138488722752761,0.0635121427381729,0.1502807868187
NA,NA,NA,NA,NA,NA,NA,0
0.565645504143861,1,0.179975059814072,1,1,0.0107377160730329,0.0413866151788785,0.565645504143861
0.605982769765091,0.0368529052427979,0.203848121541748,1,1,0.244078918673577,0.0284799531880854,0.605982769765091
0.480059605090667,1,0.150132238236098,1,1,0.0385909413527525,0.0350111310120398,0.480059605090667
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
0.275760734225951,1,0.19189423801389,1,1,0.0331459332787017,0.0502063671375229,0.275760734225951
0.258071444438693,1,0.1722497663163,1,1,0.0672975893863762,0.0413057757977199,0.258071444438693
1.36008648750532,1,0.177596980890755,1,1,0.151935334617056,0.0510801496184204,1.36008648750532
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
0.216474348179373,1,0.176308247206541,1,1,0.0107179253376957,0.0390416804104788,0.216474348179373
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
0.169897360680679,1,0.187053782313643,1,1,0.011648133359438,0.0402474501727019,0.169897360680679
0.262663679443534,0.000608682770384951,0.172846842607011,1,1,0.00182856451021964,0.0459294825109588,0.262663679443534
NA,NA,NA,NA,NA,NA,NA,0
0.829494358722356,1,0.224693225163917,1,1,0.0268566871890831,0.0475423083650114,0.829494358722356
NA,NA,NA,NA,NA,NA,NA,0
0.26952435983694,1,0.235411400272908,1,1,0.145734018034857,0.0482230932699434,0.26952435983694
