"base_value_poisson","b_value_poisson","w_value_poisson","b_poisson","w_poisson","r_poisson","m_poisson","dist_w_poisson","bic_poisson"
2.16527948028495,1,0.174239381984801,1,1,0.0551603193905317,0.0384362959934767,2.16527948028495,129.401564910412
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
4.80872032671303,1,0.197580344488311,1,1,0.00405786008333549,0.0360516009780742,4.80872032671303,118.065145718678
3.64176819440712,1,0.175740530998231,1,1,0.0771432640132348,0.038284671878805,3.64176819440712,127.640837767236
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
3.67879142371163,1,0.187247450912683,1,1,0.0165355066460892,0.0402280328444879,3.67879142371163,135.286447061289
3.48392864503561,1,0.240074969864639,1,1,0.0271057606379703,0.0616196935825682,3.48392864503561,124.029284159153
2.96957703575402,1,0.196664639502222,1,1,0.0374435308053246,0.0337168465894817,2.96957703575402,128.635988974734
NA,NA,NA,NA,NA,NA,NA,0,0
2.54096303151644,0.00140759210116679,0.183970897369302,1,1,0.000133790913934795,0.0552252082262554,2.54096303151644,124.611407060984
1.45529479438481,1,0.2829727894877,1,1,0.0616565539028429,0.053049742335087,1.45529479438481,125.926720257085
2.33824284627284,1,0.17622548163634,1,1,0.0943882349757701,0.0386111968331181,2.33824284627284,129.104792849527
3.6751269529772,1,0.181426306960798,1,1,0.0126892245983806,0.0356413210837919,3.6751269529772,136.220016366409
2.21555765361097,1,0.209938485688969,1,1,0.0377546261671341,0.0457017626302496,2.21555765361097,129.822256317642
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
12.9316943966404,0.33569410077497,0.200229737441093,1,1,0.537275690007082,0.0419451041297502,12.9316943966404,153.510084537271
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
3.68840639446009,1,0.24322042136803,1,1,0.0830007230733038,0.0433014704994081,3.68840639446009,134.714110556626
7.82057979003341,1,0.189643814031186,1,1,0.0239079255870222,0.0432873266576867,7.82057979003341,144.966714246547
5.02908043674307,1,0.193513659710125,1,1,0.10498339018409,0.0465136234577483,5.02908043674307,131.199322887907
NA,NA,NA,NA,NA,NA,NA,0,0
2.20076348566138,1,0.200583089769831,1,1,0.00834660254577623,0.0466794763927025,2.20076348566138,127.209509325471
6.00546109772692,1,0.1975359780211,1,1,0.137361702286439,0.0377559688620524,6.00546109772692,133.855525485906
2.7596183507636,1,0.230436136666492,1,1,0.129462081747247,0.0368726003154127,2.7596183507636,129.638041159878
NA,NA,NA,NA,NA,NA,NA,0,0
