"base_value_negbinlin","b_value_negbinlin","w_value_negbinlin","b_nb_lin","w_nb_lin","r_nb_lin","m_nb_lin","dist_w_nb_lin","bic_nblin"
NA,NA,NA,NA,NA,NA,NA,0,0
4.02214047177938,1,0.0430049592178603,1,1,0.00782464288168678,0.0120251516948227,4.02214047177938,605.964921332042
4.8851488071615,1,0.0514103573072226,1,1,0.00966723383856309,0.0134024542944984,4.8851488071615,615.22361592958
4.24964712803579,1,0.0569117582515328,1,1,0.0251121258339313,0.00632078808227123,4.24964712803579,602.223553453577
5.47426182697759,1,0.0353802689813453,1,1,0.0193568519377079,0.0109522045621081,5.47426182697759,626.134471924791
6.26102142480561,1,0.0490108472749968,1,1,0.013567458480614,0.00997796700416233,6.26102142480561,629.293489454036
7.25035318973315,1,0.0568274057083736,1,1,0.000455201470764562,0.00860753925961677,7.25035318973315,600.680301512395
NA,NA,NA,NA,NA,NA,NA,0,0
5.53671027729359,1,0.0512275324710564,1,1,0.00918516477022055,0.00263775408446483,5.53671027729359,607.502396624364
5.62131363271102,0.000676957527647113,0.038939024331966,1,1,0.000596141268284447,0.00292983958061696,5.62131363271102,636.462625095968
5.41682814209001,1,0.046276085078699,1,1,0.00271420022812557,0.00696580461565813,5.41682814209001,624.735916071309
5.5954218342131,1,0.049120060950915,1,1,0.0166627323192728,0.0120955549117631,5.5954218342131,623.76370586233
4.82821672267394,1,0.0406701360641776,1,1,0.00104497043156903,0.00763046758628402,4.82821672267394,602.306856594801
3.72377018428086,1,0.0436576188937182,1,1,0.00858840063751113,0.0142394672675503,3.72377018428086,614.208423391407
4.70630996388432,1,0.0607490199531362,1,1,0.0149857377493381,0.0133151068326194,4.70630996388432,616.488377146586
5.2771526502238,1,0.038198519783328,1,1,0.00294303004140792,0.00651505828183759,5.2771526502238,607.878222039602
NA,NA,NA,NA,NA,NA,NA,0,0
6.19626513072549,1,0.0473979763438198,1,1,0.0101877340457488,0.00918137568793418,6.19626513072549,609.304462769358
4.33903882877613,1,0.0400515893907628,1,1,0.00140841277672948,0.0109069414896126,4.33903882877613,607.231251167639
5.95732103741745,1,0.0392092975570619,1,1,0.00903822122795889,0.00505028554064461,5.95732103741745,596.546243769321
8.69902822230191,1,0.0407863141039505,1,1,0.0136979063969043,0.00677816645026667,8.69902822230191,605.252906248193
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
3.42153235606164,1,0.048967390592792,1,1,0.0202222393652287,0.0119385139778863,3.42153235606164,604.789733404943
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
4.41595343457499,1,0.0642912841918346,1,1,0.0324666833667474,0.0153943591427122,4.41595343457499,622.337298773845
2.39484137981694,1,0.0464524401207281,1,1,0.00495229597158517,0.00807260937849329,2.39484137981694,644.944583000588
NA,NA,NA,NA,NA,NA,NA,0,0
12.1643186318794,1,0.0452843946786065,1,1,0.0107794174170587,0.0133487208074664,12.1643186318794,593.227205104689
NA,NA,NA,NA,NA,NA,NA,0,0
5.266806523551,1,0.0530741950107928,1,1,0.0275331731468017,0.0121156133173664,5.266806523551,625.665349962343
3.70310445051514,1,0.0494182904134747,1,1,0.00356690178182825,0.014260879763599,3.70310445051514,602.171186034216
4.71390680412725,0.000279453839084824,0.03413632336968,1,1,0.000822336824533108,0.00666699587153157,4.71390680412725,624.359994638574
5.94637339504703,1,0.0270177597338752,1,1,0.000966136295609886,0.00918341471219261,5.94637339504703,610.00481915046
3.93317891518796,1,0.0458045997052166,1,1,0.00282655693505921,0.00498310479037704,3.93317891518796,630.013908079346
4.92983431964134,1,0.0458583155299591,1,1,0.00475089449001326,0.00744326794303435,4.92983431964134,615.766736196609
NA,NA,NA,NA,NA,NA,NA,0,0
5.69690229631764,1,0.057746687982275,1,1,0.0253212264625034,0.0159676370154259,5.69690229631764,633.684471003087
NA,NA,NA,NA,NA,NA,NA,0,0
6.93766818836437,1,0.0468128037116584,1,1,0.0156707091082835,0.00993741637501507,6.93766818836437,613.58931389684
4.68133356381881,1,0.0433559104325228,1,1,0.0145264064116036,0.0063429622168248,4.68133356381881,617.653304502847
6.13864140820417,1,0.0425389108533666,1,1,0.00590314152765701,0.00973814944487228,6.13864140820417,615.019455833294
6.31446063610954,1,0.0389579432551652,1,1,0.0343771042028772,0.0132549683749219,6.31446063610954,595.883573065153
5.46693050199419,1,0.0514664582674908,1,1,0.016373880012133,0.00389075236150585,5.46693050199419,615.098163151619
4.30300595809217,1,0.0587127023973551,1,1,0.0417835024360266,0.0139852095061562,4.30300595809217,632.691241574476
4.95930231965594,1,0.040648256031078,1,1,0.0114952305530139,0.00784878361070461,4.95930231965594,620.969649998347
5.17712903355636,1,0.0521158851703684,1,1,0.00505479006213533,0.00716880494689577,5.17712903355636,622.711013015111
3.45140430720379,1,0.05042180330032,1,1,0.032155077611834,0.00521216146007762,3.45140430720379,607.951764868104
7.16079605515593,0.000326171803308828,0.0470075886903626,1,1,5.72759500965542e-05,0.00499843032402644,7.16079605515593,628.911176853292
NA,NA,NA,NA,NA,NA,NA,0,0
12.2628124503649,1,0.0353179735879559,1,1,0.0182959450606181,0.00988218912345504,12.2628124503649,598.05928820564
5.64387121220613,1,0.0392796712932166,1,1,0.00133739857238571,0.00646713471051932,5.64387121220613,626.56682574095
2.97495927246429,1,0.042726914188623,1,1,0.00339018585570992,0.00643271506016081,2.97495927246429,611.121149501279
6.37988632115294,1,0.0462789968310814,1,1,0.000680017614769759,0.00900432389410816,6.37988632115294,608.093695040604
4.51138819696561,1,0.0444432129999584,1,1,0.0150579477886126,0.0138572959301229,4.51138819696561,633.716643524326
4.26738424917906,1,0.0509810116318657,1,1,0.00678611917913444,0.00843193708876027,4.26738424917906,607.033828938259
5.5457925372089,1,0.0579693168414757,1,1,0.0161187326125949,0.00941507532075832,5.5457925372089,599.910812610728
6.44930758391083,1,0.0553626840866561,1,1,5.29055305480458e-06,0.00556478186155367,6.44930758391083,619.577863510131
6.49095217494735,1,0.0526998759796289,1,1,0.0272839432146337,0.010654965900427,6.49095217494735,620.544050636438
7.63307830703039,1,0.037186955586834,1,1,0.00170609057231882,0.0105470299392224,7.63307830703039,619.727086374596
NA,NA,NA,NA,NA,NA,NA,0,0
6.42852912415763,1,0.0472788222487856,1,1,0.0119441775054613,0.0103488489926923,6.42852912415763,617.228665646009
6.11615568635797,1,0.047424335338724,1,1,0.0064054865961672,0.0127711239494121,6.11615568635797,610.308127898341
NA,NA,NA,NA,NA,NA,NA,0,0
4.7463204126912,1,0.0404946558798066,1,1,0.0166461575637275,0.0115890123211874,4.7463204126912,602.405819374536
3.96906978715074,1,0.0233831560313023,1,1,0.0228105626928999,0.00414183055301327,3.96906978715074,634.562819801904
4.84041165742857,1,0.0451477522419864,1,1,0.000651877269907211,0.0093021384997589,4.84041165742857,643.443147613161
NA,NA,NA,NA,NA,NA,NA,0,0
7.95332684890217,1,0.0433785287113208,1,1,0.0099327011645456,0.00963435758773333,7.95332684890217,597.952104533421
5.29006250943472,1,0.0409001014859309,1,1,0.0407275971016166,0.0134488354111636,5.29006250943472,609.99413465015
3.24348574272786,1,0.0517671985025714,1,1,0.00399573723511694,0.0107301788447919,3.24348574272786,613.86565062982
5.27371371780614,1,0.0418071978227332,1,1,0.0286719297010158,0.00671815310742391,5.27371371780614,599.559228486981
9.01292232512983,1,0.0377171879889896,1,1,0.0251996120365087,0.0102056611601514,9.01292232512983,590.711276658006
7.47662879071892,0.00206952209978037,0.0343941118635122,1,1,0.0366155873776183,0.00786333808479726,7.47662879071892,624.871269571127
4.96691618850607,1,0.0539607426738298,1,1,0.0208644771417107,0.0147591571442535,4.96691618850607,618.282517640654
3.7919619519323,1,0.0405038938953368,1,1,0.0101166486006556,0.00553718431697122,3.7919619519323,628.357958552367
5.32206701203527,1,0.0521876747746217,1,1,0.0141333074019104,0.00904979534706556,5.32206701203527,619.890923768
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
5.58074265217873,1,0.0457066522903319,1,1,0.00212677865803056,0.0140996462599339,5.58074265217873,620.356196145361
7.7511581894784,1,0.0413196858432614,1,1,0.000595120210587538,0.00935801339498343,7.7511581894784,607.221288895194
7.11603814804136,1,0.0550202749214796,1,1,0.00136337275515748,0.00779618469014133,7.11603814804136,588.137114391407
NA,NA,NA,NA,NA,NA,NA,0,0
5.71914889744341,1,0.0356744450323062,1,1,0.00768648294568678,0.00931141388997201,5.71914889744341,618.407764281022
NA,NA,NA,NA,NA,NA,NA,0,0
5.09781614188091,1,0.0510730740560776,1,1,0.0112507570939443,0.0112507570939443,5.09781614188091,607.694301665069
NA,NA,NA,NA,NA,NA,NA,0,0
8.94072748017475,1,0.0433054456325745,1,1,0.000900533227658821,0.00478014238502665,8.94072748017475,609.706420755161
5.31066314706361,1,0.0424010751239013,1,1,0.0293659821327123,0.00617497042510787,5.31066314706361,636.729196722886
4.88003567022323,1,0.0542144561600991,1,1,0.00475032691764757,0.00536130456425385,4.88003567022323,610.564759101125
NA,NA,NA,NA,NA,NA,NA,0,0
4.625675610101,1,0.0502293256198207,1,1,0.0141030021892147,0.0101457162552887,4.625675610101,609.088195896771
7.82138322622353,1,0.0492135753049133,1,1,0.0126281220152694,0.00568511499433538,7.82138322622353,598.304943988499
3.55711701742229,1,0.0383344414072574,1,1,0.0150824992038405,0.010277766453999,3.55711701742229,617.555814783904
NA,NA,NA,NA,NA,NA,NA,0,0
6.19863933289604,1,0.0353982378962322,1,1,0.0153624369588386,0.00299976376971812,6.19863933289604,613.29292237436
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
4.88205776155529,1,0.0331490396216787,1,1,0.0050671201390801,0.00532504616543221,4.88205776155529,611.418207533697
NA,NA,NA,NA,NA,NA,NA,0,0
5.61728245769682,1,0.0479865574700288,1,1,0.000141351909363944,0.00888694827734322,5.61728245769682,622.644453454859
7.56856038837282,1,0.0431677908030014,1,1,0.00991826801971595,0.0104694512237075,7.56856038837282,599.601872751854
10.8779959483349,1,0.0446178840241435,1,1,0.0186794023289711,0.0167438226051341,10.8779959483349,608.553946928827
9.22546610361287,1,0.0493218358304836,1,1,0.00584588296973922,0.00817694016567091,9.22546610361287,632.116399603435
NA,NA,NA,NA,NA,NA,NA,0,0
5.25299055221133,1,0.0393765687777966,1,1,0.00239115842569777,0.0103854194679209,5.25299055221133,623.630865205837
5.02711705210031,1,0.0384573285840594,1,1,0.00869007367108117,0.00923478510257233,5.02711705210031,616.803045863414
5.76182279396825,1,0.0311970089267602,1,1,0.00090651788484702,0.00452637054879508,5.76182279396825,601.40582996954
7.64559416758468,1,0.0474156926848694,1,1,0.00571814830445129,0.00802864401307759,7.64559416758468,621.973397251424
7.47813494802479,1,0.0322221095987627,1,1,0.0118115313387161,0.0111436320957372,7.47813494802479,598.659095797857
4.78890629156484,1,0.0342076004997809,1,1,0.001917515941907,0.00479918763027177,4.78890629156484,632.149243097349
10.3774698523747,1,0.0530316037060476,1,1,0.00145266845041908,0.00379125030431457,10.3774698523747,630.712243712345
4.84934492178592,1,0.0502014170171752,1,1,0.000385507780007183,0.0120225253043327,4.84934492178592,616.43881390513
4.72737766131585,0.00347016811246702,0.0286453418811977,1,1,0.0330207415197813,0.00626300298814319,4.72737766131585,628.036654370798
NA,NA,NA,NA,NA,NA,NA,0,0
5.95935142159125,1,0.0432579180345172,1,1,0.0393557292734996,0.00947939060636934,5.95935142159125,628.939622489943
NA,NA,NA,NA,NA,NA,NA,0,0
