"base_value_negbinquad","b_value_negbinquad","w_value_negbinquad","b_nb_quad","w_nb_quad","r_nb_quad","m_nb_quad","dist_w_nb_quad","bic_nbquad"
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
0.869546383260772,1,0.224843736075353,1,1,0.0158472709182577,0.0364537708880961,0.869546383260772,121.795119392559
2.53616340445008,1,0.177948565722716,1,1,0.110376251905345,0.0524540016957611,2.53616340445008,138.375723969997
4.3553379842596,1,0.192950408382238,1,1,0.0546427847101598,0.0412126354251823,4.3553379842596,136.88533752399
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
0.286970887581537,1,0.27110300226578,1,1,0.00352766988918076,0.0405248074601111,0.286970887581537,129.7710417676
1.72577650417668,1,0.177789392845155,1,1,0.101737768373996,0.0403584875016763,1.72577650417668,135.413657075599
1.16229829206909,1,0.16967584444817,1,1,0.114348874524222,0.0534905894208807,1.16229829206909,133.745364797059
0.40016458603017,1,0.219878706455046,1,1,0.00874844569093644,0.0399411293932162,0.40016458603017,129.430402365627
0.551754459289059,0.00386458599430946,0.217037230999294,1,1,0.000180301928956826,0.0360105136903742,0.551754459289059,131.347971124448
0.991137195171392,1,0.200655831105733,1,1,0.0323572702340361,0.0435390101012585,0.991137195171392,135.439763839787
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
0.692063657247955,1,0.209131465888554,1,1,0.112613028012271,0.037650679540362,0.692063657247955,122.603953732983
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
0.652864172304182,1,0.187536373041822,1,1,0.0492650053428468,0.0502273561186487,0.652864172304182,131.394552991599
0.835964657717967,0.0610746996273421,0.194327203217731,1,1,0.259873252166367,0.061346915674505,0.835964657717967,134.233548874841
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
1.05154771868802,1,0.223339169417268,1,1,0.0961553057265192,0.038891263724462,1.05154771868802,138.023069875418
0.593455980811524,1,0.230028934359126,1,1,0.0283855704211798,0.0397924612449827,0.593455980811524,137.985722836369
NA,NA,NA,NA,NA,NA,NA,0,0
0.316248053798906,1,0.216905844848447,1,1,0.0428107866883011,0.0493137204944115,0.316248053798906,129.294988978697
NA,NA,NA,NA,NA,NA,NA,0,0
0.721825438330768,1,0.245608277883167,1,1,0.00677382058031178,0.0395786920572157,0.721825438330768,134.148696691676
NA,NA,NA,NA,NA,NA,NA,0,0
0.645791300736135,1,0.251546985027617,1,1,0.0922612994230597,0.0524153732184469,0.645791300736135,136.840738481716
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
0.367878023185213,1,0.180902449709565,1,1,0.0811423877859633,0.0437786338675376,0.367878023185213,131.324483207232
0.846472834241286,1,0.211028837412392,1,1,0.0162070242635442,0.0434518522975688,0.846472834241286,135.03508148516
NA,NA,NA,NA,NA,NA,NA,0,0
2.77585040788864,1,0.260790390264188,1,1,0.063471192077495,0.040584194893369,2.77585040788864,139.799786693973
0.718547326225343,0.0761286892195303,0.176284347736363,1,1,0.255489289842172,0.0401765163218441,0.718547326225343,132.158414889001
3.62236248764229,1,0.230845366251037,1,1,0.0506649893505771,0.0471395259335314,3.62236248764229,142.231846077671
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
0.203297363117847,1,0.226904658310541,1,1,0.070046332403891,0.0448937340421448,0.203297363117847,135.269351517474
0.213135312368662,1,0.171706315255378,1,1,0.0578244174831739,0.0370552678814245,0.213135312368662,125.359064436392
2.51137137058828,1,0.21537099010647,1,1,0.177236165438309,0.0450364019893758,2.51137137058828,132.475573838562
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
0.185210380292088,1,0.249503700005493,1,1,0.040226107333398,0.0586749096504499,0.185210380292088,131.77396181334
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
1.08037166351125,1,0.219037458709828,1,1,0.00868600040939551,0.0491036203934354,1.08037166351125,122.327365401075
1.75543444197521,1,0.225884466646397,1,1,0.00532595553040806,0.0379948023854706,1.75543444197521,142.786770912933
NA,NA,NA,NA,NA,NA,NA,0,0
1.22894869457272,1,0.178073359889296,1,1,0.0277824172115327,0.031864077688756,1.22894869457272,128.95711449428
NA,NA,NA,NA,NA,NA,NA,0,0
0.190461000883944,1,0.190599175857088,1,1,0.111889983777825,0.0408554007619943,0.190461000883944,134.767765964883
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
0.524464407693604,1,0.210820446317057,1,1,0.0986761509731484,0.0571967519303077,0.524464407693604,132.4111586339
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
0.559649707480824,1,0.189925656146162,1,1,0.00412102441438153,0.042851788933812,0.559649707480824,133.136889475272
0.289133612874874,1,0.210354981740401,1,1,0.0344101277614507,0.0368760331022411,0.289133612874874,129.701813104436
NA,NA,NA,NA,NA,NA,NA,0,0
1.0739692722424,1,0.192556492541704,1,1,0.0531533816406592,0.0443981068392275,1.0739692722424,133.990198365287
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
0.17723810118369,1,0.188328901497554,1,1,0.0608499294073656,0.0453235988830094,0.17723810118369,128.212511823387
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
1.29719924958005,0.0248054135728908,0.244401935573839,1,1,0.269868381125284,0.039024361064651,1.29719924958005,139.122837989138
0.737155724265006,0.0376047699004702,0.212700828412576,1,1,0.255659593468626,0.0427080249728,0.737155724265006,138.908413897114
NA,NA,NA,NA,NA,NA,NA,0,0
0.703450808504227,1,0.208256919059849,1,1,0.0722934126860834,0.0447263800497124,0.703450808504227,125.030897666574
4.25285700269269,1,0.186535051869925,1,1,0.0659460535007659,0.0423157269424925,4.25285700269269,142.605567161799
0.761431130402872,1,0.220757773605124,1,1,0.0376206273445937,0.0371597613650034,0.761431130402872,134.3420523
0.338265616694128,1,0.18810593338502,1,1,0.0576785621917542,0.0458585845007045,0.338265616694128,130.987839736384
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
0.345327658659259,1,0.223357333812734,1,1,0.0103108758340734,0.0442176685777247,0.345327658659259,126.423239464745
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
1.81289802883538,1,0.141759273233541,1,1,0.019322735466867,0.0441687688694722,1.81289802883538,132.84128204348
NA,NA,NA,NA,NA,NA,NA,0,0
