"base_value_poisson","bic_poisson"
394.239279536832,679.065023907136
1693.54036627204,1946.02453211705
743.096110734709,1122.298572173
478.496047740062,754.74790615343
2527.69635436052,2328.15743937083
608.99135126968,917.566776660845
280.695631080163,593.115549510497
84.7037560935136,261.009824607539
573.305296663467,783.754077150315
79.4534027239582,303.291202897672
639.088205436332,1001.27468805799
1336.50753915204,1624.53735980686
1039.64519321143,1422.93938384502
178.794587916936,393.065589841692
1125.77886934991,1651.89778833854
631.805384145559,1082.91720589913
542.390457269088,825.639322246755
111.309420037306,325.499134809321
106.683193381422,307.018038669922
1157.12499568597,1405.61308273635
316.498601705133,579.886667845343
510.828261948694,748.977119891417
169.756816972274,393.40890661086
927.925365336412,1186.04268743977
181.512756086815,434.979624204896
62.8223604983527,238.099967366128
454.38212862319,775.036295056467
315.469028503118,649.508132761857
1079.04625323857,1264.28407218005
524.578532743833,865.831367083219
273.768304199761,533.765726961795
153.818289398096,368.963796798516
499.997487260765,759.729226863567
551.912946061187,728.451333939862
1348.12408957629,1816.68103279384
350.449352676216,584.910748690633
332.735737789948,616.977937052322
1576.8135625431,2309.24592978068
299.699624377155,563.360549337177
173.912403279643,369.513015455847
638.692733292501,935.423096884506
292.78744500652,545.114080925593
371.031438417665,619.913227954774
479.455387268218,790.916873835474
1201.5080558806,1354.89239758602
292.172489950726,562.462001536555
1101.38703909053,1517.7840608745
362.042758963082,633.416336519779
368.445836193328,568.651556934062
912.95995881292,1352.62286100049
596.294002710313,1258.90794310383
146.942149416671,385.240277720096
689.827341052996,1119.42829279798
173.038548134598,385.760375890488
809.171337919498,1125.04127022346
232.656261498773,499.054600254964
861.483650850551,1054.6493248235
103.105541073752,304.454184838031
946.841415682989,1381.76384764454
220.257878447171,394.21526815154
223.113610728512,515.879873237014
563.373906410654,834.785540636252
106.010120790628,298.168997805757
619.667287543243,933.971867675079
146.462927710476,346.834831897779
226.165718533732,436.247795129472
715.332496379798,1015.87193315974
158.350339117038,390.736529241961
179.226959041344,419.740674212608
259.114396728047,516.838495159979
833.374523435864,1110.04004062296
345.890672938214,597.845027606199
355.543078484053,656.793298386274
126.004664232367,339.185982422969
1895.81787377629,2237.36010339277
193.359166912391,427.75068876464
329.858337384386,587.976253817577
1361.25862070796,1823.29788404434
1024.40730396012,1366.8033208402
139.91344472518,374.202862331046
