"base_value_negbinquad","b_value_negbinquad","w_value_negbinquad","b_nb_quad","w_nb_quad","r_nb_quad","m_nb_quad","dist_w_nb_quad","bic_neg_quad"
84.2876386135651,0.145296075394027,0.171159729725186,1,1,0.319207826703003,0.037363379732904,84.2876386135651,812.264993667476
119.30072224447,1.40197410929471,0.181252043832231,1,1,1.58486420939206,0.0476670461710662,119.30072224447,1924.34822873665
80.9633771983855,0.740403757749648,0.201261383149865,1,1,0.9439190481246,0.0400145386159699,80.9633771983855,693.336528512523
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
116.535764487793,1,0.20085981194756,1,1,0.200249655696351,0.0420474727994921,116.535764487793,2003.93645116209
NA,NA,NA,NA,NA,NA,NA,0,NA
135.717061478004,0.271617243765697,0.188728471172739,1,1,0.462816184176016,0.0372075614631568,135.717061478004,3298.74453737854
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
114.822713609818,0.0577447953893741,0.187837037272746,1,1,0.247127088730372,0.0402705789326296,114.822713609818,1791.11518695472
NA,NA,NA,NA,NA,NA,NA,0,NA
5.3912868626791,1,1.75302383240845,1,1,0.087001397200925,0.10623974668855,5.3912868626791,116.034636501745
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
5.82538188713232,1,1.80204758633855,1,1,0.00845146465452438,0.0819742227109185,5.82538188713232,123.728155413202
2.59802067366508,1,2.33817311279492,1,1,0.0624284989769247,0.0838158360177313,2.59802067366508,93.9111569859384
NA,NA,NA,NA,NA,NA,NA,0,NA
3.02138047291606,1,1.76058855710844,1,1,0.0707698955660172,0.138227734728267,3.02138047291606,60.4555089181116
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
137.71601811204,0.729435961590844,0.21465018504144,1,1,0.94554130108404,0.04184454786518,137.71601811204,3348.60861733823
45.2283615283755,1,0.164892342434842,1,1,0.164471940539042,0.0569210973358743,45.2283615283755,463.997861168221
76.1616961707038,0.610915479781423,0.265170365800574,1,1,0.879938103223331,0.030362337513666,76.1616961707038,639.030115711842
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
4.55338206428291,1,0.694196596496654,1,1,0.0111195196602408,0.0658984955934841,4.55338206428291,159.297426429035
6.56232056400397,1,1.65971174379931,1,1,0.0866308965817528,0.146826900046243,6.56232056400397,61.5849138598806
123.213785101978,0.87953614447887,0.228717539545902,1,1,1.1091982614477,0.0350465173835545,123.213785101978,2040.73021598613
113.233328890263,0.243904773835314,0.184149068937274,1,1,0.429413300151313,0.0315425163159751,113.233328890263,2028.29611997946
NA,NA,NA,NA,NA,NA,NA,0,NA
128.394294274402,0.55978801075665,0.177194199424142,1,1,0.737765601246792,0.0415495876503208,128.394294274402,3080.41444562642
128.186703324227,1,0.203599076045118,1,1,0.0625690995722053,0.049091726447119,128.186703324227,3106.57494251697
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
41.5417711138983,1,1.32693949466474,1,1,0.031549357405898,0.110342779108058,41.5417711138983,134.627831383116
NA,NA,NA,NA,NA,NA,NA,0,NA
34.3611840339554,1,0.227403403588618,1,1,0.174634757834099,0.0417261985752051,34.3611840339554,203.346447424488
117.283610994718,1,0.190669971584336,1,1,0.10355857053646,0.0491070367065417,117.283610994718,1891.92270345321
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
1.12296097651245,1,0.930704996123443,1,1,0.110359910760449,0.0635089004747528,1.12296097651245,97.8533382618351
NA,NA,NA,NA,NA,NA,NA,0,NA
122.304077366866,1.37541537309451,0.162399858992102,1,1,1.53894978096725,0.041037964412274,122.304077366866,2025.36040126427
80.7721671959469,0.475845011979174,0.150026227155042,1,1,0.626434822615179,0.0352094271780576,80.7721671959469,652.466489729345
136.479014881192,0.565490819543304,0.184424717560651,1,1,0.753270407496907,0.0438642476369978,136.479014881192,3264.30040917067
NA,NA,NA,NA,NA,NA,NA,0,NA
84.902148046475,0.783884574516176,0.200661603340946,1,1,0.986578844670185,0.0485978812893939,84.902148046475,794.981312421024
NA,NA,NA,NA,NA,NA,NA,0,NA
73.2262108578344,0.367722453156229,0.149840295385445,1,1,0.519393526967968,0.0407498493386726,73.2262108578344,595.972749440805
131.389220055056,0.110655839962596,0.203925821587242,1,1,0.315523549537523,0.0460807672572163,131.389220055056,3162.56580492376
