"base_value_negbinlin","b_value_negbinlin","w_value_negbinlin","b_nb_lin","w_nb_lin","r_nb_lin","m_nb_lin","dist_w_nb_lin","bic_neg_lin"
1.00465017834651,1,0.139521240294105,1,1,0.0244868632043577,0.089183650348992,1.00465017834651,58.8202833086264
4.60291703244553,1,0.261337344047398,1,1,0.0177496614578307,0.0795589626372488,4.60291703244553,113.925262879717
1.47861937564764,1,0.203482475786859,1,1,0.129877731508722,0.0652161210150008,1.47861937564764,107.980631101554
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
2.55356002814632,1,0.120493182868514,1,1,0.0535755942218493,0.112908326354197,2.55356002814632,60.2945188227066
NA,NA,NA,NA,NA,NA,NA,0,NA
7.4792324543284,1,0.215700246371861,1,1,0.0758651403111736,0.0783477551618888,7.4792324543284,106.495393831263
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
1.23034972394042,1,0.231268495115472,1,1,0.101845117882251,0.0682021144985045,1.23034972394042,145.520760244421
NA,NA,NA,NA,NA,NA,NA,0,NA
1.33495248695818,1,0.00573702028899561,1,1,0.0123275122076865,0.0123275122076865,1.33495248695818,111.220713514012
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
1.52630081225792,1,0.0151365635789897,1,1,0.0208561954153706,0.0208561954153706,1.52630081225792,122.290829333778
2.20600453506443,0.00321174002132057,0.245347653335133,1,1,0.000750868907656036,0.0766494978384755,2.20600453506443,93.3610877429028
NA,NA,NA,NA,NA,NA,NA,0,NA
6.07430906644176,1,0.129351551553432,1,1,0.0292536299534246,0.0936552298286583,6.07430906644176,59.4115615499723
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
0.116631045548879,1,0.20786054922066,1,1,0.0298483825126277,0.0772210690080222,0.116631045548879,139.938528858585
1.80165057087139,1,0.0138651160377761,1,1,0.0188305932801873,0.0188305932801873,1.80165057087139,143.159240156871
1.82652291174329,1,0.229279918790759,1,1,0.0527205567612165,0.0833267843956627,1.82652291174329,85.6078964022096
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
0.515032900371866,1,0.22546828331014,1,1,0.212992193323852,0.055469815114291,0.515032900371866,171.824189033752
3.04644243683249,1,0.134897905908926,1,1,0.142130957030337,0.0872390910744778,3.04644243683249,60.6607746247732
2.61925750011561,1,0.249169865275999,1,1,0.0537720364311267,0.0722223871817565,2.61925750011561,118.503294035687
7.95186627770334,1,0.223322742871432,1,1,0.0275947307155838,0.0809925640817176,7.95186627770334,94.4492089584141
NA,NA,NA,NA,NA,NA,NA,0,NA
4.28587360936323,1,0.220942265611686,1,1,0.022548625141291,0.0672428504285927,4.28587360936323,130.406228971545
2.40872908279365,1,0.229129897080453,1,1,0.00740160826041077,0.0662264245140719,2.40872908279365,138.511490192068
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
1.42221083120151,1,0.0213009231273372,1,1,0.0255333708502337,0.0255333708502337,1.42221083120151,133.919222453918
NA,NA,NA,NA,NA,NA,NA,0,NA
2.0478594329536,1,0.134633229816102,1,1,0.0418844589943039,0.102655063166594,2.0478594329536,47.9862483481257
5.23686544953765,1,0.258200439699352,1,1,0.209454411507315,0.071557644358264,5.23686544953765,125.820832660675
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
1.84119382673316,1,0.238773300234984,1,1,0.130054408608748,0.0546049424848223,1.84119382673316,95.7236943922923
NA,NA,NA,NA,NA,NA,NA,0,NA
1.72607897784923,1,0.191469936795247,1,1,0.0123769493122025,0.0812382221220682,1.72607897784923,101.673047762837
0.972060054166078,1,0.249194735803047,1,1,0.01242856026157,0.068448290986689,0.972060054166078,92.6626275647889
2.51037697899322,1,0.203281617687533,1,1,0.0493606369023653,0.0822729663549664,2.51037697899322,122.08747009157
NA,NA,NA,NA,NA,NA,NA,0,NA
0.892259778410264,1,0.185926048018595,1,1,0.127710132066608,0.111750418595478,0.892259778410264,69.9775773437056
NA,NA,NA,NA,NA,NA,NA,0,NA
1.35547884418947,1,0.233321601551568,1,1,0.0231991744534758,0.0523377906815022,1.35547884418947,106.21414532826
0.273167249356533,1,0.140957666759576,1,1,0.0596370479871043,0.0870825106489952,0.273167249356533,135.188343537813
1.41267554533887,1,0.229868453088126,1,1,0.200978302334983,0.0770636768266698,1.41267554533887,87.4157340108137
2.47701081833001,0.00750388753995262,0.181926007514737,1,1,0.000610862611923943,0.0965302748847477,2.47701081833001,113.661555623857
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
1.70794829723222,1,0.238956267074563,1,1,0.0585472608645972,0.0817342796523537,1.70794829723222,131.029325890208
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
