"base_value_quasi","b_value_quasi","w_value_quasi","b_quasi","w_quasi","r_quasi","m_quasi","dist_w_quasi"
6.32866586559698,1,0.0506944268000855,1,1,0.00809513425505723,0.0128902333970572,6.32866586559698
4.17443349886265,1,0.0568107591147686,1,1,0.00167632985543031,0.0131093015308092,4.17443349886265
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
2.75770313103604,1,0.0572245548854382,1,1,0.00772412740384601,0.0135270840055787,2.75770313103604
7.49100088417212,1,0.0500247768824752,1,1,0.00553383767018649,0.014823676672478,7.49100088417212
NA,NA,NA,NA,NA,NA,NA,0
8.08134618386939,1,0.0439826063472983,1,1,0.00276908836301214,0.0110245634920179,8.08134618386939
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
6.75650536576702,0.000649957220277081,0.0480884657987063,1,1,0.000207055491803167,0.0136716420015932,6.75650536576702
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
6.83518750093858,1,0.0516191523779263,1,1,0.00850676852136058,0.0116557033698579,6.83518750093858
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
11.4935945735388,1,0.0353456503881357,1,1,0.00109000190408414,0.013910233150773,11.4935945735388
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
4.36746949277626,1,0.0598354619863384,1,1,0.00849189264592995,0.0149652378233785,4.36746949277626
4.51394819199776,1,0.0601001740315941,1,1,0.00809765331995306,0.0129171758305625,4.51394819199776
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
