"base_value_zinp","b_value_zinp","w_value_zinp","b_zinp","w_zinp","r_zinp","m_zinp","dist_w_zinp","bic_zinp"
0.773948539786764,1,0.361723120333268,1,1,0.227734463364173,0.156766517538123,0.773948539786764,87.5294340209488
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
0.400582725885166,1,0.403521877163572,1,1,0.15148760330578,0.140850377209341,0.400582725885166,104.652727925637
NA,NA,NA,NA,NA,NA,NA,0,NA
0.659050704234621,1,0.323877515361468,1,1,0.130465101585718,0.117093713669608,0.659050704234621,41.4505053752996
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
0.124297131606014,1,0.385953449359834,1,1,0.194357927290563,0.147429492810104,0.124297131606014,35.605255895137
0.37167857977119,1,0.291705013709594,1,1,0.195734651286755,0.142550268905689,0.37167857977119,89.3011361757321
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
0.892633405453128,1,0.303948124883708,1,1,0.0832237023083701,0.143495869909737,0.892633405453128,79.890004773481
0.255122367937572,1,0.406175183126387,1,1,0.239956818655156,0.189796970075622,0.255122367937572,69.3537191937982
0.766386062597305,1,0.336492886746005,1,1,0.250961354946223,0.164184072725661,0.766386062597305,83.9768536559838
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
0.650393203148358,1,0.382719364820166,1,1,0.274314562273974,0.169620994667214,0.650393203148358,88.1484218114675
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
0.652952827989157,1,0.436322193695104,1,1,0.234274082941226,0.176287958572104,0.652952827989157,81.6490982926316
NA,NA,NA,NA,NA,NA,NA,0,NA
0.717297939519531,1,0.358181501820918,1,1,0.207693218165376,0.169926396520251,0.717297939519531,56.2762077758417
NA,NA,NA,NA,NA,NA,NA,0,NA
0.221227902111151,1,0.311957597321398,1,1,0.227000647490379,0.160533157281223,0.221227902111151,86.641245639198
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
0.466391739565774,1,0.427362511895475,1,1,0.24148555820865,0.171791068307964,0.466391739565774,88.6066128357974
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
