"base_value_quasi","b_value_quasi","w_value_quasi","b_quasi","w_quasi","r_quasi","m_quasi","dist_w_quasi"
3.38658985400652,1,0.17708850794105,1,1,0.0346822811894666,0.050687354611681,3.38658985400652
2.55600177524758,1,0.217723247180933,1,1,0.127557058789857,0.0359842654829546,2.55600177524758
3.89451236148412,1,0.195822856143109,1,1,0.140253256076229,0.0407415198146041,3.89451236148412
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
3.4185913790664,1,0.188453023394776,1,1,0.0141966993369704,0.023708837382655,3.4185913790664
NA,NA,NA,NA,NA,NA,NA,0
3.71680238305617,1,0.106894077385184,1,1,0.0314963138176791,0.0187719539252196,3.71680238305617
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
2.89862847118791,1,0.238292058235665,1,1,0.0228552902422591,0.0476200220258147,2.89862847118791
NA,NA,NA,NA,NA,NA,NA,0
5.49795886017941,1,0.0203712270358058,1,1,0.00474795408929011,0.00390474542469508,5.49795886017941
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
5.18886231297059,1,0.0264040654974105,1,1,0.00709647464270762,0.00634981264605745,5.18886231297059
3.20739630863662,1,0.197208754183536,1,1,0.0133458878142733,0.0431589876964028,3.20739630863662
NA,NA,NA,NA,NA,NA,NA,0
3.65022588745908,1,0.193462800664568,1,1,0.0377262126633507,0.0591203155319991,3.65022588745908
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
3.24615729020862,1,0.149609036163434,1,1,0.0730555483164061,0.0322040691651972,3.24615729020862
3.96995577151353,1,0.0666547984384782,1,1,0.0426226489848974,0.0367541553378699,3.96995577151353
3.24676716014257,1,0.259029509248939,1,1,0.121610429407262,0.0366151764484477,3.24676716014257
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
4.55335513310305,1,0.0976130402362437,1,1,0.00914356643917855,0.0252413302173492,4.55335513310305
3.69691100755516,1,0.185945296755543,1,1,0.142531045745448,0.0543265963413762,3.69691100755516
3.12131779856407,1,0.198023725195663,1,1,0.088884861153209,0.0419328585623497,3.12131779856407
3.12357675694695,1,0.196409305597159,1,1,0.0308812699366279,0.0372584793289248,3.12357675694695
NA,NA,NA,NA,NA,NA,NA,0
3.46289173089557,1,0.179346894626816,1,1,0.0530855675454719,0.0268987268696467,3.46289173089557
2.92773574395816,1,0.174051315311244,1,1,0.00458141657559828,0.0288584009257745,2.92773574395816
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
5.45803065292464,1,0.0261519039608769,1,1,0.0118552640139786,0.00942607251731768,5.45803065292464
NA,NA,NA,NA,NA,NA,NA,0
3.35193938173219,1,0.211719189491544,1,1,0.0369034803191054,0.0690208577469599,3.35193938173219
2.9659949131622,1,0.188423582148065,1,1,0.00847115490447198,0.0390015759572882,2.9659949131622
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
2.85921805617263,1,0.214157076788724,1,1,0.0599242119443932,0.0554562648172226,2.85921805617263
NA,NA,NA,NA,NA,NA,NA,0
3.1409110468583,1,0.171932664215717,1,1,0.118728573716459,0.0417117641145792,3.1409110468583
3.75732772128329,1,0.167226639497574,1,1,0.0967151999657976,0.0532574730865669,3.75732772128329
3.45803662257262,1,0.145293523377816,1,1,0.0537447906091745,0.0291683703494621,3.45803662257262
NA,NA,NA,NA,NA,NA,NA,0
3.47771818604361,1,0.172369102830526,1,1,0.109212154442902,0.04070516080474,3.47771818604361
NA,NA,NA,NA,NA,NA,NA,0
3.27680231755336,1,0.229431779067774,1,1,0.0841795628828793,0.0456256510791637,3.27680231755336
3.73245975415338,1,0.132777846370027,1,1,0.0252699768383109,0.0398216729775033,3.73245975415338
4.19322521157382,0.0540700547652583,0.195871840650006,1,1,0.251984438349356,0.0593107692279425,4.19322521157382
3.7663358893625,1,0.132764437578728,1,1,0.000719814773052253,0.0167493159721438,3.7663358893625
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
2.89985255818263,1,0.226356026938115,1,1,0.0257270792846134,0.0418772173451008,2.89985255818263
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
3.50066638304557,1,0.198958219687088,1,1,0.0324948679606727,0.0621856666455375,3.50066638304557
3.64346175208952,1,0.16966260487185,1,1,0.0396827099444527,0.0375876225577668,3.64346175208952
3.47107934865418,1,0.18508298820164,1,1,0.0171177546971406,0.0255149313470909,3.47107934865418
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
4.95533046239095,1,0.208424328061787,1,1,0.133326930005114,0.0456643200474365,4.95533046239095
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
2.52080922178535,1,0.193739040214404,1,1,0.0739535170399769,0.0538801097831415,2.52080922178535
NA,NA,NA,NA,NA,NA,NA,0
3.85495094331167,1,0.110536383206642,1,1,0.00354525642065576,0.0154213327047642,3.85495094331167
3.3455532743902,1,0.278971694099682,1,1,0.0875651286746745,0.0428673992705191,3.3455532743902
