"base_value_zinbh","b_value_zinbh","w_value_zinbh","b_zinbh","w_zinbh","r_zinbh","m_zinbh","dist_w_zinbh","bic_zinbh"
6.54275068866839,1,0.175728819619648,1,1,0.0148202193887782,0.0725515492539317,6.54275068866839,423.033447809496
NA,NA,NA,NA,NA,NA,NA,0,NA
3.85676083063572,1,0.181726157810422,1,1,0.173491421611911,0.0864155345271305,3.85676083063572,426.374720456172
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
3.80255798216717,1,0.172559731634679,1,1,0.100862177651116,0.122787058719616,3.80255798216717,361.383502277617
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
6.43985126356821,1,0.183983875664444,1,1,0.0861160607842721,0.122849306118618,6.43985126356821,394.783602838394
6.07129377863957,1,0.158576016167185,1,1,0.042045842098095,0.106131810043565,6.07129377863957,289.64926745584
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
4.08544796709417,1,0.168582479160012,1,1,0.0950605305716069,0.111123960432679,4.08544796709417,388.336123577625
NA,NA,NA,NA,NA,NA,NA,0,NA
8.16288726248543,1,0.170781611581721,1,1,0.1518218029471,0.110828141137533,8.16288726248543,394.552705313668
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
5.24744254021542,1,0.18079188206077,1,1,0.15756655955353,0.135484331536365,5.24744254021542,388.629964813181
3.9693223182655,1,0.173030986543534,1,1,0.135589402893725,0.119403998752845,3.9693223182655,329.184884348083
NA,NA,NA,NA,NA,NA,NA,0,NA
6.86409878956835,1,0.167567193110779,1,1,0.155630346892124,0.105295055641911,6.86409878956835,375.515591476284
NA,NA,NA,NA,NA,NA,NA,0,NA
4.66117984702991,1,0.175778585189858,1,1,0.142557187995147,0.120790450232212,4.66117984702991,325.742649431933
NA,NA,NA,NA,NA,NA,NA,0,NA
9.16583598883905,1,0.1842980411016,1,1,0.156523593399546,0.119714645229159,9.16583598883905,356.07048695727
4.1832359984487,1,0.175782394282793,1,1,0.0670989655606658,0.100859695269838,4.1832359984487,383.44425170805
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
5.37327054606547,1,0.182646625654196,1,1,0.161227021174163,0.11330926955669,5.37327054606547,392.329193559661
NA,NA,NA,NA,NA,NA,NA,0,NA
6.37544023411303,1,0.170116596348028,1,1,0.138832070423895,0.11889418519316,6.37544023411303,333.947371304965
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
